Sample	seq_name	length	PI	MW	Hydro
CP001157.1_2572437_2588078_-	CP001157.1_2572437_2588078_-	5213.0	5.33	579043.33	-1319.7
CP001157.1_2588080_2602323_-	CP001157.1_2588080_2602323_-	4747.0	5.42	527460.32	-894.1
CP001157.1_2608590_2621546_-	CP001157.1_2608590_2621546_-	4318.0	5.54	477244.75	-899.6
CP001157.1_1185861_1194011_-	CP001157.1_1185861_1194011_-	2716.0	4.11	267387.36	114.4
CP001157.1_2564585_2572425_-	CP001157.1_2564585_2572425_-	2613.0	5.32	290210.72	-658.8
CP001157.1_3046186_3053697_-	CP001157.1_3046186_3053697_-	2503.0	5.96	267767.26	-154.5
CP001157.1_5185271_5190790_-	CP001157.1_5185271_5190790_-	1839.0	3.99	191161.52	-570.4
CP001157.1_1872588_1877453_+	CP001157.1_1872588_1877453_+	1621.0	5.79	182228.04	-307.9
CP001157.1_2736912_2741671_-	CP001157.1_2736912_2741671_-	1586.0	8.8	176061.96	-341.2
CP001157.1_1104157_1108787_+	CP001157.1_1104157_1108787_+	1543.0	5.79	171509.39	-706.4
CP001157.1_4583408_4587850_-	CP001157.1_4583408_4587850_-	1480.0	5.8	161065.62	-194.8
CP001157.1_485252_489619_-	CP001157.1_485252_489619_-	1455.0	7.59	160387.85	116.4
CP001157.1_2821842_2826140_-	CP001157.1_2821842_2826140_-	1432.0	5.87	157006.51	-298.9
CP001157.1_3834234_3838493_+	CP001157.1_3834234_3838493_+	1419.0	4.63	140113.73	2.0
CP001157.1_5194329_5198540_-	CP001157.1_5194329_5198540_-	1403.0	3.99	147215.96	-549.7
CP001157.1_598022_602221_+	CP001157.1_598022_602221_+	1399.0	6.66	154838.93	-319.9
CP001157.1_1608506_1612630_+	CP001157.1_1608506_1612630_+	1374.0	7.99	154203.67	-489.2
CP001157.1_481139_485242_-	CP001157.1_481139_485242_-	1367.0	6.94	146840.55	-574.4
CP001157.1_593880_597956_+	CP001157.1_593880_597956_+	1358.0	5.35	150932.26	-380.3
CP001157.1_1786685_1790758_+	CP001157.1_1786685_1790758_+	1357.0	6.06	151374.41	-313.6
CP001157.1_3402589_3406605_+	CP001157.1_3402589_3406605_+	1338.0	6.16	149542.49	-423.1
CP001157.1_2112127_2116119_-	CP001157.1_2112127_2116119_-	1330.0	5.69	143783.19	-1.1
CP001157.1_4012130_4016026_-	CP001157.1_4012130_4016026_-	1298.0	5.14	139987.47	-166.2
CP001157.1_3013613_3017449_+	CP001157.1_3013613_3017449_+	1278.0	5.03	139981.69	-267.8
CP001157.1_1235100_1238933_+	CP001157.1_1235100_1238933_+	1277.0	8.87	139248.18	-301.0
CP001157.1_1173068_1176867_+	CP001157.1_1173068_1176867_+	1266.0	5.17	133800.13	147.4
CP001157.1_5142608_5146405_-	CP001157.1_5142608_5146405_-	1265.0	6.47	140852.73	-289.6
CP001157.1_3955800_3959474_-	CP001157.1_3955800_3959474_-	1224.0	5.69	140395.0	-827.2
CP001157.1_2285981_2289648_-	CP001157.1_2285981_2289648_-	1222.0	5.91	137259.57	-517.9
CP001157.1_2520637_2524227_+	CP001157.1_2520637_2524227_+	1196.0	5.23	131996.21	-157.5
CP001157.1_237818_241405_+	CP001157.1_237818_241405_+	1195.0	8.3	127887.51	506.6
CP001157.1_2976043_2979627_-	CP001157.1_2976043_2979627_-	1194.0	5.69	128543.62	-310.9
CP001157.1_3927954_3931484_-	CP001157.1_3927954_3931484_-	1176.0	5.22	130808.54	-224.6
CP001157.1_5261178_5264693_-	CP001157.1_5261178_5264693_-	1171.0	6.05	130843.98	-327.6
CP001157.1_5203615_5207121_-	CP001157.1_5203615_5207121_-	1168.0	4.11	119757.12	-303.4
