Sample	seq_name	length	PI	MW	Hydro
CP001157.1_2365 # 2572437 # 2588078 # -1 # ID=1_2365;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.658	CP001157.1_2365	5213.0	5.33	579043.33	-1319.7
CP001157.1_2366 # 2588080 # 2602323 # -1 # ID=1_2366;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658	CP001157.1_2366	4747.0	5.42	527460.32	-894.1
CP001157.1_2372 # 2608590 # 2621546 # -1 # ID=1_2372;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.718	CP001157.1_2372	4318.0	5.54	477244.75	-899.6
CP001157.1_2364 # 2563789 # 2572425 # -1 # ID=1_2364;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.641	CP001157.1_2364	2878.0	5.49	320832.98	-755.3
CP001157.1_1118 # 1185861 # 1194011 # -1 # ID=1_1118;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.676	CP001157.1_1118	2716.0	4.11	267387.36	114.4
CP001157.1_2723 # 3046186 # 3053697 # -1 # ID=1_2723;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.698	CP001157.1_2723	2503.0	5.96	267767.26	-154.5
CP001157.1_4737 # 5185271 # 5190790 # -1 # ID=1_4737;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674	CP001157.1_4737	1839.0	3.99	191161.52	-570.4
CP001157.1_1745 # 1872588 # 1877453 # 1 # ID=1_1745;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689	CP001157.1_1745	1621.0	5.79	182228.04	-307.9
CP001157.1_2117 # 2285173 # 2289648 # -1 # ID=1_2117;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.567	CP001157.1_2117	1491.0	6.44	167143.21	-706.8
CP001157.1_4174 # 4583408 # 4587850 # -1 # ID=1_4174;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.668	CP001157.1_4174	1480.0	5.8	161065.62	-194.8
